"125","94 WYTHE AVE,  New York, ,  11249","Match","Non_Exact","94 WYTHE AVE, BROOKLYN, NY, 11249","-73.95835853799997,40.72146128500003","59075944","R"
"5","NKA PENN STATION A,  New York, ,  10121","No_Match"
"126","47 S 5TH ST,  New York, ,  11249","Match","Non_Exact","47 S 5TH ST, BROOKLYN, NY, 11249","-73.96664307199995,40.712232638000046","59075970","L"
"6","47 S 5TH ST,  New York, ,  11249","Match","Non_Exact","47 S 5TH ST, BROOKLYN, NY, 11249","-73.96664307199995,40.712232638000046","59075970","L"
"127","94 WYTHE AVE,  New York, ,  11249","Match","Non_Exact","94 WYTHE AVE, BROOKLYN, NY, 11249","-73.95835853799997,40.72146128500003","59075944","R"
"7","1139/1141 CLARKSON AVE,  New York, ,  11212","Match","Non_Exact","1139 CLARKSON AVE, BROOKLYN, NY, 11212","-73.92077503399997,40.66069801800006","59083641","L"
"128","45 S 3RD ST,  New York, ,  11249","Match","Non_Exact","45 S 3RD ST, BROOKLYN, NY, 11249","-73.96561957099993,40.71352219500005","650082911","L"
"8","M94-SB WEST 72ND ST,  New York, ,  10023","No_Match"
"129","760 FULTON AVE,  New York, ,  11550","Match","Non_Exact","760 FULTON AVE, HEMPSTEAD, NY, 11550","-73.60612532599998,40.71325449100004","147627671","R"
"9","1139/1141 CLARKSON AVE,  New York, ,  11212","Match","Non_Exact","1139 CLARKSON AVE, BROOKLYN, NY, 11212","-73.92077503399997,40.66069801800006","59083641","L"
"20","HH4L-568 Terminal B,  New York, ,  11371","No_Match"
"21","NKA PENN STATION A,  New York, ,  10121","No_Match"
"22","122 E 42ND ST,  New York, ,  10168","Match","Non_Exact","122 E 42ND ST, NEW YORK, NY, 10017","-73.97628490999995,40.75153467600006","59658687","R"
"23","200 VESEY STREET,  New York, ,  10285","No_Match"
"24","45 S 3RD ST,  New York, ,  11249","Match","Non_Exact","45 S 3RD ST, BROOKLYN, NY, 11249","-73.96561957099993,40.71352219500005","650082911","L"
"25","1139/1141 CLARKSON AVE,  New York, ,  11212","Match","Non_Exact","1139 CLARKSON AVE, BROOKLYN, NY, 11212","-73.92077503399997,40.66069801800006","59083641","L"
"26","1139/1141 CLARKSON AVE,  New York, ,  11212","Match","Non_Exact","1139 CLARKSON AVE, BROOKLYN, NY, 11212","-73.92077503399997,40.66069801800006","59083641","L"
"27","45 S 3RD ST,  New York, ,  11249","Match","Non_Exact","45 S 3RD ST, BROOKLYN, NY, 11249","-73.96561957099993,40.71352219500005","650082911","L"
"28","1139/1141 CLARKSON AVE,  New York, ,  11212","Match","Non_Exact","1139 CLARKSON AVE, BROOKLYN, NY, 11212","-73.92077503399997,40.66069801800006","59083641","L"
"29","47 S 5TH ST,  New York, ,  11249","Match","Non_Exact","47 S 5TH ST, BROOKLYN, NY, 11249","-73.96664307199995,40.712232638000046","59075970","L"
"130","PIER 62 WEST 23 STREET,  New York, ,  10011","No_Match"
"131","1275 BLOOMFIELD AVE,  New York, ,  7004","Match","Non_Exact","1275 BLOOMFIELD AVE, FAIRFIELD, NJ, 07004","-74.31734951599998,40.85785462700005","63481770","R"
"132","1139/1141 CLARKSON AVE,  New York, ,  11212","Match","Non_Exact","1139 CLARKSON AVE, BROOKLYN, NY, 11212","-73.92077503399997,40.66069801800006","59083641","L"
"133","NKA PENN STATION A,  New York, ,  10121","No_Match"
"134","200 VESEY STREET,  New York, ,  10285","No_Match"
"135","NKA PENN STATION A,  New York, ,  10121","No_Match"
"136","122 E 42ND ST,  New York, ,  10168","Match","Non_Exact","122 E 42ND ST, NEW YORK, NY, 10017","-73.97628490999995,40.75153467600006","59658687","R"
"137","94 WYTHE AVE,  New York, ,  11249","Match","Non_Exact","94 WYTHE AVE, BROOKLYN, NY, 11249","-73.95835853799997,40.72146128500003","59075944","R"
"138","47 S 5TH ST,  New York, ,  11249","Match","Non_Exact","47 S 5TH ST, BROOKLYN, NY, 11249","-73.96664307199995,40.712232638000046","59075970","L"
"139","45 S 3RD ST,  New York, ,  11249","Match","Non_Exact","45 S 3RD ST, BROOKLYN, NY, 11249","-73.96561957099993,40.71352219500005","650082911","L"
"30","HH4L-332 Terminal B,  New York, ,  11371","No_Match"
"31","NKA HIGH LINE PARK WEST 15TH STREET,  New York, ,  10011","No_Match"
"32","47 S 5TH ST,  New York, ,  11249","Match","Non_Exact","47 S 5TH ST, BROOKLYN, NY, 11249","-73.96664307199995,40.712232638000046","59075970","L"
"33","45 S 3RD ST,  New York, ,  11249","Match","Non_Exact","45 S 3RD ST, BROOKLYN, NY, 11249","-73.96561957099993,40.71352219500005","650082911","L"
"34","JFK INTL AIRPORT,  New York, ,  11430","No_Match"
"35","JFK INTL AIRPORT,  New York, ,  11430","No_Match"
"36","1139/1141 CLARKSON AVE,  New York, ,  11212","Match","Non_Exact","1139 CLARKSON AVE, BROOKLYN, NY, 11212","-73.92077503399997,40.66069801800006","59083641","L"
"37","45 S 3RD ST,  New York, ,  11249","Match","Non_Exact","45 S 3RD ST, BROOKLYN, NY, 11249","-73.96561957099993,40.71352219500005","650082911","L"
"38","NKA PENN STATION A,  New York, ,  10121","No_Match"
"39","122 E 42ND ST,  New York, ,  10168","Match","Non_Exact","122 E 42ND ST, NEW YORK, NY, 10017","-73.97628490999995,40.75153467600006","59658687","R"
